
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1980	7	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	
1981	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	1	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
1985	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	10	0	0	0	10	10	1	1	50	0	0	0	0	0	0	0	0	
1988	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	10	0	0	0	0	0	5	0	0	0	0	20000	0	0	150	0	0	
1995	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	9	1	4	0	0	3	0	12	0	11	0	0	0	0	0	0	0	
2002	6	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	
2003	11	0	0	0	0	0	0	0	0	15	0	0	0	1	0	0	0	
2005	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
2012	2	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	118	1	4		11	54	6	13	50	126		20000	2	1	150			

