
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1923	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1958	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1960	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	
1962	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1965	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1966	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1970	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1971	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1975	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1976	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	19	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
1978	16	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
1979	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
1980	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
1981	10	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	
1982	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	11	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
1984	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1986	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	32	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	
1988	10	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	
1989	5	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	
1990	6	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	
1991	58	0	0	0	0	1549	0	0	0	0	0	0	1	0	0	0	0	
1992	10	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	
1993	31	0	1	0	0	41	0	0	0	0	0	0	0	0	0	0	0	
1994	12	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	
1995	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	4	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	
1997	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1998	48	0	0	0	2	134	0	0	0	0	0	0	0	0	0	0	0	
1999	7	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	
2000	20	0	0	0	0	352	0	0	0	0	0	0	0	0	0	0	0	
2001	10	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	
2002	10	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	
2003	6	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	
2004	23	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	
2005	25	0	5	0	0	63	0	0	0	0	0	0	0	0	0	0	0	
2006	144	0	5	0	0	366	0	0	0	0	0	61268.35	0	0	0	0	0	
2007	164	0	4	0	4	333	0	11	0	44	0	27217	1	0	0	0	0	
2008	4	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	801		15		10	3191		11		44		88485.35	2					

