
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1984	55	0	0	0	0	0	0	2588	0	0	0	0	0	0	0	1728	0	
1985	13	0	0	0	0	0	0	627	0	0	0	0	0	0	0	282	0	
1986	27	0	0	0	0	0	0	912	0	0	0	0	0	0	0	531	0	
1991	53	0	0	0	0	0	0	864	0	0	0	0	0	0	0	408	0	
1992	70	0	0	0	0	0	0	1214	0	0	0	0	0	0	0	643	0	
1993	53	0	0	0	0	0	0	2218	0	0	0	0	0	0	0	927	0	
1994	21	0	0	0	0	0	0	975	0	0	0	0	0	0	0	384	0	
1995	63	0	0	0	0	0	0	1914	0	0	0	0	0	0	0	861	0	
2004	18	0	0	0	0	0	0	6419	0	0	0	0	0	0	0	156	0	
2005	45	0	0	0	0	0	0	34868	0	0	0	0	0	0	0	792	0	
2006	76	0	0	0	0	0	0	92847	0	0	0	0	0	0	0	9129	0	
2007	69	0	0	0	0	0	0	32573	0	0	0	0	0	0	0	645	0	
2008	54	0	0	0	0	0	0	51706	0	0	0	0	0	0	0	2180	0	
2009	21	0	0	0	0	0	0	7670	0	0	0	0	0	0	0	1779	0	
2010	20	0	0	0	0	0	0	10005	0	0	0	0	0	0	0	515	0	
2011	24	0	0	0	0	0	0	41790	0	0	0	0	0	0	0	12845	0	
TOTAL	682							289190								33805		

