
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	39	1277	2327	0	15710	47575	80000	0	0	0	0	250000000	0	1	0	0	0	
1974	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1975	11	8	3	0	100	0	30	0	0	0	0	0	0	0	0	0	0	
1976	16	2	19	0	86	0	0	0	0	0	0	0	0	0	0	0	0	
1978	3	1	50	0	23	0	0	0	0	0	0	0	1	0	0	0	0	
1979	16	9	85	0	20	1918	10000	56000	0	0	0	5000000	15	1	0	0	5000	
1980	12	129	279	150	9120	1429	50000	0	0	0	0	0	0	0	0	0	0	
1981	13	0	80	0	3100	40	1000000	242	0	160	0	0	0	0	0	0	0	
1982	17	6	9	0	252	40	24000	0	0	0	0	0	0	0	0	0	0	
1983	5	0	0	0	21	240	0	0	0	0	0	0	0	0	0	0	0	
1984	3	0	0	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	
1985	24	10057	41354	1500	45800	111620	95600	160000	0	33224	0	570000000	7	23	0	0	0	
1986	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	1	0	0	0	0	0	800	0	0	0	0	0	0	0	0	0	0	
1989	16	2	160	0	0	0	0	0	0	0	0	0	50	0	0	0	0	
1990	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	7	0	1	0	0	57	0	0	0	0	0	0	0	0	0	0	0	
1992	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	3	2	15	0	0	1113	2546	0	0	0	0	4000000	1	0	0	0	0	
1995	18	72	10	0	261	0	11205	0	0	0	7000000	4364009	206	1	0	0	0	
1996	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	7	0	0	0	6	100	0	2000	0	0	0	0	0	0	0	0	0	
1998	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
1999	64	103	693	0	13874	56796	7004	16150	140	680	0	283800000	4701	58	0	0	0	
2000	4	1	3	0	0	110	0	0	0	0	0	0	0	0	0	0	0	
2001	9	0	0	0	135	2338	0	9759	0	0	0	0	69	2	0	0	0	
2002	2	0	0	0	0	4	0	0	0	48	0	0	0	0	0	0	0	
2003	16	37	348	0	81	250	0	0	0	750	0	0	1	0	0	0	0	
2004	6	0	0	0	0	15	0	0	0	0	0	0	2	0	0	0	0	
2006	8	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
2007	24	0	4	0	3	23	15	0	0	60	0	0	0	0	0	0	0	
2008	16	0	0	0	1	103	0	0	0	80	0	0	47	2	0	0	0	
2009	31	2	0	0	0	1005	0	0	0	0	0	0	54	2	0	0	0	
2010	22	5	232	0	2160	6432	44600	0	0	0	0	0	177	5	87000	0	150000	
2011	49	4	23	0	104	500	0	0	0	1200	0	0	10	2	0	0	0	
2012	169	2	7	0	5497	17761	12170	300552	0	2060	0	0	357	13	0	0	341900	
2013	41	0	2	0	434	466	0	0	0	0	0	0	55	16	0	0	0	
TOTAL	687	11719	45713	1650	96788	251935	1337970	544703	140	38262	7000000	1117164009	5754	127	87000		496900	

