
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1988	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
2000	1	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	3	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	
2002	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	1	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	4	8	0	0	0	0	5	14	0	0	0	0	0	0	0	0	0	
2006	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	4	21	0	3	0	0	0	64	0	0	0	0	0	0	0	0	0	
2010	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	2	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	
2012	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	24	50		13			19	84										

