
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1991	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	8	5	0	0	25	18	1525	3710	0	2228	0	500000	0	0	22018	40	0	
2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	2	4	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	
2006	3	2	0	0	255	6	0	0	0	0	0	0	0	0	0	0	0	
2007	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46000	
2008	4	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	
2009	9	0	0	0	99	35	0	895	0	0	0	0	1	0	0	0	48000	
2010	6	2	0	0	58	22	0	170	0	0	0	0	1	0	0	0	0	
2011	7	0	0	0	13	2140	0	10258	245	55	0	0	1	0	47	0	10000	
2012	3	3	11	0	61	265	0	1205	0	0	0	0	0	0	0	0	0	
TOTAL	47	16	11		668	2486	1525	16238	245	2283		500000	3		22065	40	104000	

