
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1997	1	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	
1998	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
2006	3	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	
2007	1	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
2008	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
2009	5	7	0	0	2	0	12	9	0	0	0	0	0	0	0	0	0	
2010	2	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	5	6	2	0	1	0	0	4	0	0	0	0	0	0	0	0	0	
2012	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	20	30	8		5		17	16										

