
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1995	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	2	0	0	0	476	0	0	0	0	0	0	0	0	0	0	0	0	
1997	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	5	12	10	0	25	0	0	1700	0	0	0	0	0	0	0	0	0	
2001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	1	4	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	
2003	7	2	33	0	132	450	0	600	0	3	0	0	0	0	0	0	0	
2004	7	2	0	0	5	1	0	0	0	0	0	0	0	0	0	25	0	
2005	28	21	12	19	1302	2032	31	1215	0	0	0	800	0	0	0	0	0	
2006	27	1	0	0	761	1160	0	415	0	0	0	0	0	0	0	0	0	
2007	29	4	7	0	1612	249	0	335	0	0	0	0	0	0	0	0	0	
2008	21	5	8	0	268	72	0	7411	0	0	0	0	0	0	0	0	0	
2009	15	0	0	0	257	237	0	141	0	0	0	0	1	0	0	0	0	
2010	6	1	11	0	366	116	0	432	0	0	0	0	0	0	0	0	0	
2011	7	2	4	0	82	855	5	3735	0	10	0	0	0	0	0	0	0	
2012	4	0	7	0	0	35	0	30	0	0	0	0	0	0	0	0	0	
TOTAL	162	54	92	19	5286	5242	36	16014		13		800	1			25		

