
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1956	1	0	0	0	0	0	0	0	0	0	0	120000	0	0	0	0	0	
2011	4	0	0	0	0	1400	0	0	0	0	0	0	0	0	0	0	0	
2012	19	12	72	0	66	1732	16714	0	0	8552	28911000	10801172440	112	4	102	0	1207	
2013	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2016	53	12	4	0	8	36	102	10	0	0	0	122850000	53	6	0	0	0	
2017	1	0	6	0	0	6	29	0	0	0	0	0	0	0	0	0	0	
2018	2	0	0	0	0	0	0	0	0	0	0	1170000	0	0	0	0	0	
2019	5	0	3	0	0	214	0	1535	0	0	0	35000000	0	0	0	0	0	
TOTAL	92	24	85		74	3388	16845	1545		8552	28911000	10960312440	165	10	102		1207	

