
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1993	1	0	0	0	0	0	0	0	0	0	400	2000000	0	0	0	2	0	
2003	1	0	0	0	0	0	0	0	0	0	400	1800000	0	0	0	2	0	
2009	2	0	0	0	0	0	0	0	0	0	0	200000	0	0	0	0	0	
2010	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	15	20	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	32	41	14	0	0	0	15	0	0	0	0	0	0	0	0	0	0	
2013	110	121	10	0	0	2	2	0	0	0	0	900000	0	0	0	0	0	
2014	202	217	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
2015	178	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2016	149	138	1	0	7	4	14	25	0	0	0	31543000	0	0	0	127	0	
2017	332	326	88	0	2	30	66	0	0	0	0	11895000	1	0	0	3	0	
2018	184	175	53	0	3	2	27	6	0	0	0	400000	0	0	0	0	0	
2019	127	121	51	0	4	3	5	1547	0	344	0	80000	0	0	0	0	0	
TOTAL	1335	1349	225		16	41	131	1578		344	800	48818000	1			134		

