
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1767	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1768	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1809	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1819	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1825	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1837	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1844	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1848	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1849	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1850	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1853	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1854	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1856	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1857	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1863	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1865	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1866	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1873	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1875	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1877	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1878	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1881	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1883	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1888	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1892	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1893	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1895	3	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1899	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1900	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1901	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1903	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1904	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1905	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1906	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1907	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1908	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1909	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1910	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1911	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1912	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1913	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1915	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1916	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1917	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1919	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1920	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1922	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1923	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1925	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1926	2	1	0	0	51	51	0	0	0	0	1000000	0	0	0	0	0	0	
1928	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1930	4	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1931	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1934	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1935	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1937	1	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1938	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1939	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1941	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1946	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1947	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1948	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1949	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1950	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1951	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1952	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1953	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1954	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1955	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1956	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1957	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1958	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1959	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1960	2	0	0	0	0	0	1600	1600	0	0	1500000	0	0	0	0	0	0	
1961	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1962	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1963	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1964	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1965	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1966	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1967	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1969	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
