
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1981	8	5	2	0	0	0	0	14	0	0	0	0	0	0	0	0	0	
1982	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	3	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	
1989	3	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	
1990	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
1991	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
1992	3	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
1993	1	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	
1997	1	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	
2000	2	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	
2002	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
2006	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	
2012	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	
TOTAL	35	18	2				2	481										

