
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1980	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	3	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	
1983	4	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	
1986	1	13	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1998	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	2	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	25	16	62			26		8	8									

