
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1980	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	
1986	2	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	
1987	1	3	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	
1988	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	7	1	7	0	1	5	0	0	0	0	0	0	0	0	0	0	0	
1997	2	0	0	0	1	0	0	10	0	1	0	0	0	0	0	0	0	
2000	4	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	
2002	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
2004	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	2	0	0	0	0	0	0	0	0	0	3000000	0	0	0	0	0	0	
2012	3	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
2013	6	1	1	0	24	132	0	150	0	0	3600000	0	0	0	0	0	0	
TOTAL	46	5	21		27	191		168		1	6600000							

