
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1986	21	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	11	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	6	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	13	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	22	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	47	51	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	
1994	52	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	30	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	120	133	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	70	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	74	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	56	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	35	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	50	55	0	0	0	0	0	7	0	0	0	0	0	0	0	0	4	
2002	50	50	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	89	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	42	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	20	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	60	63	0	5	3	0	0	0	0	5	0	0	0	0	0	0	0	
2009	54	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	37	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	65	74	0	0	0	150	0	750	0	0	0	0	0	0	0	0	0	
2012	31	31	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	55	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	38	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2015	18	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
2016	29	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2017	10	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2018	18	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2019	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
2020	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
TOTAL	1265	1364		13	3	150		768		5							4	

