
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1994	2	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	
1995	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	1	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	2	0	0	0	0	12671	0	50684	0	0	0	0	45	2	0	0	0	
2015	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	10		120			12671		50984					45	2				

