
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1989	3	0	3	0	0	600	0	0	0	0	0	0	0	0	0	0	0	
1991	1	0	0	0	0	1500	0	7500	0	0	0	0	0	0	0	0	0	
1992	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	1	0	0	0	0	0	0	0	0	0	0	20000000	0	0	0	0	0	
1994	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	2	0	0	0	0	0	0	0	0	0	0	0	0	0	947	0	0	
1997	12	0	2	0	0	1015	0	1122	0	0	0	60000000	0	0	5030	0	0	
1999	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	1	0	0	0	720	0	0	0	0	0	0	0	0	0	0	0	0	
2002	3	1	0	0	0	10494	0	0	0	0	0	0	0	0	0	0	0	
2003	1	0	0	0	0	26	0	130	0	0	0	0	1	0	0	0	0	
2004	1	0	0	0	0	0	0	0	0	0	600	0	0	0	1000	0	0	
2005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	2	0	0	0	0	0	3760	0	0	0	0	0	0	0	0	0	0	
2008	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	12	0	0	0	0	4511	1750	24555	0	0	0	0	0	0	100	0	0	
2010	21	0	0	0	1	4350	0	0	0	0	10000000	0	1	0	800	0	0	
2011	4	0	0	0	3000	300	0	1500	0	0	50000000	0	0	0	0	0	0	
2012	2	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	
2013	9	0	0	0	0	1332	0	24000	0	0	0	0	0	0	0	0	0	
2014	2	0	0	0	0	2400	0	12000	0	0	0	0	0	0	0	0	0	
2015	7	0	0	0	0	500	0	0	0	0	0	0	0	0	5000	0	0	
2016	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	94	1	5		3721	27060	5510	70807			60000600	80000000	2		12877			

