
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1982	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	
2009	1	0	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	
2010	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2015	3	1	3	0	0	0	0	0	0	0	1000000	0	0	0	0	0	0	
2016	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	13	4	5			3		11			1000000							

