
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	8	38	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1971	3	6	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	12	6	0	0	0	0	0	0	0	0	12919.9	500000	0	0	0	0	0	
1973	11	6	0	0	20	2	0	0	0	0	140000	0	0	0	0	0	0	
1974	7	13	0	17	0	0	23	0	0	0	0	0	0	0	0	0	0	
1975	4	9	0	0	0	0	0	0	0	0	88888.9	4000000	0	0	0	0	0	
1976	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	6	6	0	0	0	1	0	0	0	0	5126.9	400000	0	0	0	10000	0	
1978	5	7	1	0	0	0	0	0	0	0	2582.4	500000	0	0	0	0	0	
1979	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	7	12	14	0	2	3	10	0	0	0	3000	0	0	1	0	0	0	
1982	3	1	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
1983	6	11	0	0	0	15	0	0	0	0	567375	800000000	0	0	0	0	0	
1984	6	16	0	0	3	4	15	0	0	0	18000	0	0	0	0	0	0	
1985	5	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1986	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	7	2	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1988	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	1	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	8	19	2	0	2	49	255	0	0	0	8000	0	1	0	0	0	0	
1997	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	6	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	10	11	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	26	19	8	0	0	67	0	0	0	0	0	0	0	0	0	0	0	
2001	16	21	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
2002	12	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
2003	4	11	92	0	1	800	0	0	0	0	0	0	0	0	0	0	0	
2004	9	6	18	0	0	6	0	0	0	0	0	0	0	0	0	0	0	
2005	6	10	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	12	7	48	0	4	12	0	20	0	0	0	0	0	0	0	0	0	
2007	10	1	29	0	0	11	0	65	0	0	0	0	1	0	0	0	0	
2008	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	9	5	35	0	0	0	0	0	0	0	50000	144500	0	0	0	0	0	
2010	1	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	12	4	20	3	0	15	105	65	0	0	0	0	0	0	0	0	0	
TOTAL	272	293	376	33	36	987	408	150			895893.1	805544500	2	1		10000		

