
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1971	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	2	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	
1973	4	0	0	0	0	0	0	0	0	0	0	0	0	0	670	0	0	
1975	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	
1976	2	0	0	0	0	0	22	0	0	0	0	0	0	0	1000	0	0	
1977	1	0	0	0	0	0	0	0	0	0	57843.6	5000000	0	0	9	0	0	
1978	3	4	0	0	0	0	0	0	0	0	0	0	0	0	16	30	0	
1979	8	5	0	0	0	0	0	0	0	0	0	250000	0	0	430	0	0	
1980	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	20000	
1981	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2500	0	0	
1982	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	3	0	0	0	0	0	0	0	0	0	0	0	0	0	650	0	0	
1985	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	
1986	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	9	0	0	0	2	0	0	0	0	0	0	0	0	0	4120	0	0	
1988	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1853.02	0	0	
1989	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	1	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	
1991	5	0	0	0	0	0	0	0	0	0	0	0	0	0	865	0	0	
1992	4	0	0	0	0	0	0	0	0	0	0	0	0	0	12850	0	0	
1993	5	0	0	0	0	0	0	0	0	0	0	50000	0	0	1617	0	0	
1994	13	0	0	0	307	2	129	0	0	0	10500	0	0	0	21539	0	0	
1995	34	0	0	0	32	103	675	0	0	0	48000	0	4	0	7361	0	0	
1996	16	0	0	0	12	0	102	0	0	0	18000	0	0	0	4790	0	0	
1997	3	4	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	
1998	7	0	0	0	0	0	302	77	0	225	0	0	0	0	32080	0	0	
1999	8	0	0	0	0	0	0	0	0	0	0	0	0	0	52000	0	0	
2000	14	0	0	0	17	0	0	30	0	0	0	0	0	0	7234	0	0	
2001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	
2002	1	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	
2003	1	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	
2004	3	6	2	0	0	0	0	0	0	0	0	0	0	0	800	0	0	
2005	22	2	1042	0	0	0	120	0	0	0	0	0	0	0	167785	0	0	
2006	2	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	
2007	3	0	0	0	0	0	0	0	0	0	0	0	0	0	104.04	0	0	
2008	16	0	0	0	0	0	0	750	0	0	0	0	0	0	3114.08	0	4000	
2009	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4654	0	0	
2010	3	0	0	0	0	0	0	0	0	0	0	0	0	0	690	0	0	
2011	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
2012	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2020	0	0	
2013	2	0	0	0	0	0	0	2500	0	0	0	0	0	0	60	4	0	
TOTAL	236	21	1044		370	105	1350	3357		225	134343.6	5300000	4		327939.61	134	24000	

