
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1971	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	4	7	2	0	0	0	0	100	0	0	0	0	0	0	0	0	0	
1992	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	10	0	0	0	0	2	12	206	0	0	0	0	0	0	0	0	0	
2000	2	0	0	0	0	0	0	65	0	135	0	0	0	0	0	0	0	
2001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
2003	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
2005	1	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	
2010	2	0	0	0	0	0	0	15	0	0	0	2000000	0	0	0	0	0	
TOTAL	42	41	2			2	12	789		135		2000000						

