
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1998	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	1	0	0	0	0	0	0	0	0	0	0	1142	0	0	0	0	0	
2003	1	0	0	0	0	0	0	0	0	0	0	800000	0	0	45	0	0	
2007	28	1	0	0	0	0	0	0	0	0	0	133484	0	0	1	0	0	
2008	3	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	
2009	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	14	0	0	0	0	0	0	0	0	0	0	30	0	0	200	0	0	
2011	138	1	2	0	2	0	0	64	0	0	0	28500	0	0	190	0	0	
2012	268	4	20	0	4	3	0	1883	0	4	0	47795801	0	0	173	0	0	
2013	34	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
2017	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1365	0	0	
2018	2	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	
2019	38	0	0	0	0	0	0	0	0	0	0	200000000	0	0	2	0	0	
2020	39	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	
2021	21	1	0	0	0	0	0	0	0	0	0	280000	0	0	400	0	0	
2022	16	2	0	1	0	0	0	0	0	0	0	100000	0	0	0	0	0	
TOTAL	610	9	23	2	7	3		1947		4		249138957			2687			

