
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2002	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	4	0	0	0	0	0	0	0	0	0	0	1217033	0	0	950	0	0	
2005	5	0	0	0	0	0	0	0	0	0	0	54295627	0	0	24573	0	0	
2007	1	0	0	0	0	0	0	0	0	0	0	22082	0	0	1500	0	0	
2008	1	0	0	0	0	20	0	0	0	0	0	0	0	0	200	50	500	
2009	2	0	0	0	0	123	0	0	0	0	0	77454	2	0	2496	0	0	
2010	8	0	0	0	0	615	0	27052	0	0	0	2194480	2	1	7019	0	3600	
2011	41	0	0	0	0	2213	0	19600	0	0	0	14786170	2	0	40691	0	30000	
2012	48	0	31	0	0	0	0	0	0	0	0	2050801	0	0	20475	0	5000	
2013	23	0	0	0	0	0	0	0	0	0	0	306054	0	0	19659	0	0	
2014	22	0	0	0	0	1114	0	0	0	0	0	10090984	0	0	21823	0	17000	
2015	27	0	0	0	0	264	0	0	0	0	0	2201845	0	0	8658	0	0	
2016	15	0	0	0	0	6975	0	0	0	0	0	310613142	0	0	117528	0	27300	
2017	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1460	0	0	
2018	12	0	0	0	0	357	0	0	0	0	0	1774918377	0	0	4276	0	295176	
2019	19	0	0	0	0	143	0	0	0	0	0	3135548909	0	0	12801	0	0	
2020	13	0	0	0	0	104	0	0	0	0	0	1346011586	0	0	4606	0	0	
2021	15	0	0	0	0	0	0	0	0	0	0	1398397000	0	0	10617	0	0	
2022	7	0	0	0	0	0	0	0	0	0	0	12676956600	0	0	885	0	0	
TOTAL	266		35			11928		46652				20729688144	6	1	300217	50	378576	

