
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1997	11	0	0	0	0	94	0	0	0	0	0	1883144	0	0	0	0	0	
1998	3	0	0	0	0	3	0	0	0	0	0	37733.44	0	0	0	0	0	
1999	1	0	0	0	0	1	0	0	0	0	0	25350	0	0	0	0	0	
2000	13	0	0	0	0	15	0	0	0	0	0	977732.53	0	0	0	0	0	
2001	9	0	0	0	0	13	0	0	0	0	0	1730192	0	0	0	0	0	
2002	6	0	0	0	0	13	0	0	0	0	0	331632	0	0	0	0	0	
2003	3	0	0	0	0	4	0	0	0	0	0	67325	0	0	0	0	0	
2004	7	0	0	0	0	57	0	0	0	0	0	3593704	0	0	0	0	0	
2006	10	0	0	0	0	16	0	0	0	0	0	603240	0	0	0	0	1.5	
2007	6	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	1	
2008	3	0	0	0	0	3	0	3	0	0	0	987525	0	0	0	0	0	
2009	6	0	0	0	0	6	0	0	0	0	28596	21650	0	0	0	0	0	
2010	4	0	0	0	0	7	0	0	0	0	0	669031	0	0	0	0	0	
2011	14	0	0	0	0	19	0	0	0	0	0	748195.47	0	0	0	0	0	
2012	5	0	0	0	0	5	0	0	0	0	0	100286	0	0	0	0	0	
2013	31	0	1	0	1	1253	0	6118	30	141	0	3830041.2	5	3	6	0	0	
2014	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	
TOTAL	135		1		1	1527		6121	30	141	28596	15606781.64	5	3	6		12.5	

