
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
49	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
181	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
420	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
620	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
680	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
686	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
711	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
719	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
761	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
777	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
779	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
788	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
827	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
835	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
849	4	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	
901	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
909	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
942	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
943	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
945	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
973	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
974	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
975	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1011	1	0	0	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	
1088	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1113	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1137	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1143	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1156	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1168	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1169	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1171	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1174	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1193	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1200	1	700	0	0	0	6000	0	0	0	0	0	0	0	0	0	0	0	
1203	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1211	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1222	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1229	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1251	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1256	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1258	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1259	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1261	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1264	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1267	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1269	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1283	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1286	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1297	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1302	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1306	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1310	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1311	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1314	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1315	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1319	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1320	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1321	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1322	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1325	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1327	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1328	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1329	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1330	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1331	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1332	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1333	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1334	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1336	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1337	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1338	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1340	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1342	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1344	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1348	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1349	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1353	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1358	2	400	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	
1359	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1361	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1363	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1366	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1367	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
1368	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1372	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1373	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1374	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1377	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1379	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
