
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1977	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1978	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	1	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	
1985	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	2	0	0	0	0	0	0	239	0	200	0	0	0	0	0	0	0	
1992	3	0	0	0	1	20	0	105	0	0	0	0	0	0	0	0	0	
1993	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	16	0	0	0	45	70	0	700	0	0	0	0	0	0	0	0	0	
1996	4	0	0	0	1	22	0	93	0	0	0	0	0	0	0	0	0	
1998	3	0	0	0	0	57	0	285	0	0	0	0	0	0	0	0	0	
2001	8	0	0	0	16	120	0	680	0	0	0	0	0	0	0	0	0	
2002	2	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	
2003	2	0	0	0	0	11	0	302	0	0	0	0	0	0	0	0	0	
2004	3	0	0	0	0	30	0	140	0	0	0	0	0	0	0	0	0	
2005	2	0	0	0	3	0	0	75	0	0	0	0	0	0	0	0	0	
2006	2	0	0	0	0	2	0	16	0	11	0	0	0	0	0	0	0	
2007	4	0	0	0	6	0	0	30	0	0	0	0	0	0	0	0	0	
2008	3	0	0	0	11	14	0	145	0	0	0	0	0	0	0	0	0	
2009	5	0	1	0	24	8	0	114	0	0	0	0	0	0	0	0	0	
2010	7	0	0	0	27	25	0	288	0	35	0	0	0	0	0	0	0	
2011	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	
2012	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	
2013	1	0	0	0	2	0	0	12	0	0	0	0	0	0	0	0	0	
2014	3	0	0	0	1	36	0	710	0	0	0	0	0	0	0	0	0	
2015	1	0	0	0	0	2	0	12	0	0	0	0	0	0	0	0	0	
TOTAL	83		1		138	424		3957		646								

