
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2001	14	0	0	0	0	0	0	3265	0	0	0	0	0	0	0	0	0	
2003	1	0	0	0	0	0	0	604	0	0	0	0	0	0	0	0	0	
2004	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	9	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	
2008	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	45	2	1					4074										

