
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2004	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	11	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	
2010	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
2012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	
TOTAL	44	1			1			3								17		

