
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1983	42	2	0	0	0	3746	150	0	0	12586	0	0	0	0	16	0	0	
1984	12	0	3	0	70	341	520	0	0	8180	0	0	0	0	55	0	16000	
1985	5	0	0	0	0	54	0	0	0	151	0	0	0	0	0	0	0	
1986	19	1	0	2	0	2618	0	0	0	7857	0	0	0	0	26	0	0	
1987	3	0	0	0	0	312	0	0	0	1036	0	0	0	0	0	0	0	
1988	5	0	0	0	0	67	0	0	0	249	0	0	0	0	0	0	0	
1989	3	0	0	0	0	55	0	0	0	164	0	0	0	0	0	0	0	
1990	22	0	0	0	1	649	90	0	0	2480	0	0	0	0	70	0	0	
1991	10	0	0	3	100	82	9	0	0	2889	0	0	0	0	0	0	0	
1992	26	0	3	0	0	1941	1650	1	0	3291	0	0	0	0	0	0	0	
1993	18	2	1	0	0	1104	0	0	0	3942	101500	2030000	0	0	0	0	1000	
1994	19	2	0	0	0	273	30	0	0	823	0	0	0	0	0	0	20	
1995	4	0	0	0	0	24	0	0	0	73	0	0	0	0	0	0	0	
1997	7	1	0	0	0	1192	0	0	0	3581	0	0	0	0	0	0	0	
1998	54	8	1	0	0	6860	3552	0	0	21523	3000012	0	0	0	21000	29238	0	
1999	7	0	0	0	0	1080	20	0	0	3198	700	0	0	0	0	0	0	
2000	60	12	3	0	5	1542	0	0	0	4558	4000000	0	0	0	0	0	0	
2001	41	1	0	0	210	5001	0	0	0	14523	3800000	0	0	0	0	0	0	
2002	76	2	2	0	0	4895	0	448	0	22774	500	0	0	0	95007	0	4600000	
2003	34	4	0	0	0	1538	0	0	0	4649	0	0	0	0	0	0	0	
2005	23	1	0	0	0	934	300	560	0	2652	100000	0	0	0	0	0	0	
2006	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	
2007	33	0	0	2	147	4257	300	0	0	12160	11150100	0	0	0	0	0	0	
2008	7	0	0	0	1	39	15	0	0	128	20000	0	0	0	0	0	0	
2009	31	0	0	0	0	2535	87	0	0	7597	0	0	0	0	0	0	0	
2010	12	1	0	1	1	2596	6	0	0	7793	2000000	0	0	0	0	0	1000	
2011	23	0	0	0	0	33	0	1	0	102	0	0	0	0	0	0	0	
2012	22	0	0	0	0	1013	53	0	0	3008	0	0	0	0	0	0	0	
2013	29	1	0	0	0	1631	129	0	0	3517	0	0	0	0	0	0	0	
2014	38	1	0	0	0	1468	16	0	0	2365	0	0	0	0	0	0	0	
TOTAL	686	39	13	8	535	47881	6927	1010		157851	24172812	2030000			116174	29238	4618020	

