
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1959	5	0	0	0	0	0	0	45000	0	0	0	0	0	0	0	0	0	
1973	1	0	0	0	0	650	0	0	0	0	0	0	0	0	0	0	0	
1990	8	0	0	0	0	0	0	8	0	2186	0	0	0	0	0	0	0	
1992	19	0	0	0	0	0	0	1976	0	3936	0	0	0	0	0	0	0	
1993	5	0	0	0	0	20	0	0	0	90	6500	130000	0	0	0	0	100	
1994	20	2	0	0	0	0	30	0	0	823	0	0	1	0	0	0	20	
1997	3	0	0	0	0	0	0	0	0	3131	0	0	0	0	0	0	0	
1998	39	4	1	0	400	200	400	972	0	16536	12	0	0	0	0	11700	2.3	
1999	1	0	0	0	0	0	0	1020	0	0	0	0	0	0	0	0	0	
2000	2	0	0	0	0	650	0	100	0	0	0	0	0	0	0	0	0	
2001	1	0	0	0	0	240	0	3000	0	0	0	0	0	0	0	0	0	
2002	7	0	0	0	0	0	0	4299	0	0	0	0	0	0	0	0	0	
2003	4	0	0	0	0	0	0	725	0	0	0	0	0	0	0	0	0	
2005	1	0	0	0	0	650	0	0	0	0	0	0	0	0	0	0	0	
2006	3	0	0	0	0	0	0	1350	0	0	0	0	0	0	0	0	0	
2007	5	0	0	0	0	1500	0	2786	0	0	0	0	0	0	0	0	0	
2009	4	0	0	0	0	0	0	12955	0	0	0	0	0	0	0	0	0	
TOTAL	128	6	1		400	3910	430	74191		26702	6512	130000	1			11700	122.3	

