
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1983	3	0	0	0	0	0	0	0	0	0	0	1174200	0	0	0	0	0	
1984	10	4	3	0	0	2	106	0	0	6	0	452646881	0	0	20	0	0	
1985	9	5	23	0	0	185	594	0	0	0	0	15000000	0	0	0	0	0	
1986	6	0	2	0	1	1	6	0	0	0	0	80000	0	0	0	2000	0	
1987	10	0	1	0	2	14	0	0	0	24	0	30100000	0	0	0	0	0	
1988	22	2	5	0	1	55	0	0	0	119	0	0	0	0	0	0	0	
1989	30	1	8	2	2	292	10	0	0	868	0	0	0	0	0	0	0	
1990	25	0	24	0	0	0	0	19	0	0	0	0	0	0	0	0	0	
1991	19	4	2	0	0	130	390	0	0	200	0	0	0	0	0	1000	0	
1992	22	0	1	6	2	24	0	0	0	8	1	0	0	0	0	0	5000	
1993	34	1	2	0	2	0	0	0	0	0	200000	0	0	0	0	0	2500	
1994	65	8	21	0	29	536	176	0	0	57	2000000	0	5	1	0	240	15	
1995	8	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	16	4	4	0	3	27	30	1	0	60	1500000	0	0	0	0	0	0	
1999	30	1	81	0	16	3520	5211	700	0	0	0	0	0	0	0	0	0	
2000	99	8	11	0	1	266	528	332	0	261	1000	0	0	0	0	0	0	
2001	21	2	10	0	8	295	605	29	0	535	0	0	0	0	0	0	6	
2002	24	3	0	0	0	2025	5544	795	0	568	25000000	0	0	0	10	0	0	
2003	10	1	0	0	0	23	0	11	0	78	0	0	0	0	0	0	0	
2004	18	0	7	0	0	147	363	510	0	80	0	0	0	0	0	0	0	
2005	64	53	6	0	1260	9611	135	3625	0	891	2187000	0	0	0	0	0	0	
2006	75	10	9	2	0	741	597	2684	0	1148	0	0	0	0	0	0	0	
2007	69	0	0	0	0	612	652	3353	0	1234	0	0	0	0	0	0	0	
2008	49	0	0	0	0	600	1640	0	0	76	0	35	0	0	0	53	0	
2009	128	5	15	0	26	1267	1422	1191	0	1111	0	0	0	0	0	0	0	
2010	47	3	7	0	0	1054	2783	200	0	261	1800000	0	0	0	0	0	0	
2011	52	2	20	0	76	517	1342	25	0	273	1219577	0	0	0	0	0	0	
2012	103	23	45	1	28	631	713	0	0	1538	0	0	0	0	0	0	0	
2013	66	3	6	0	55	947	3236	0	0	1218	190000000	0	0	0	9500	0	0	
2014	26	2	0	0	11	89	195	0	0	293	0	0	0	0	0	0	0	
TOTAL	1161	148	315	11	1523	23611	26278	13475		10907	223907578	499001116	5	1	9530	3293	7521	

