
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1983	1	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	1	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1990	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	26	9	6	0	2	1	0	7	0	0	0	0	0	0	0	0	0	
1994	29	6	69	0	0	13	14	177	0	0	0	0	0	0	0	0	0	
1996	6	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	4	2	10	0	0	1	3	0	0	0	0	0	0	0	0	0	0	
1998	4	0	15	0	0	0	0	25	0	0	0	0	0	0	0	0	0	
1999	7	0	4	0	0	1	3	0	0	0	0	0	0	0	0	0	0	
2000	12	2	12	0	1	2	3	0	0	0	0	0	0	0	0	0	0	
2001	3	0	0	0	0	0	0	1054	0	0	0	0	0	0	0	0	0	
2005	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	2	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	3	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	
2010	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	
2013	2	0	2	0	0	2	0	0	0	8	0	0	0	0	0	0	0	
2014	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	113	22	193		6	21	32	1263		8								

