
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1983	2	7	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	3	4	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	2	2	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	4	7	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	8	30	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	4	22	85	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1991	7	9	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	3	8	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	4	6	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	4	20	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	4	5	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	1	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	1	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	4	15	33	0	0	0	0	0	0	0	0	0	0	0	0	0	400	
1999	3	24	32	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	7	20	59	0	0	0	0	0	0	0	1000000	0	0	0	0	0	0	
2002	1	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	1	1	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	1	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	1	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	1	5	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	9	9	18	0	0	1	3	0	0	0	0	0	0	0	0	0	0	
2010	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	8	5	68	0	0	1	3	0	0	0	0	0	0	0	0	0	0	
2012	1	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	86	295	990	1		3	6				1000000						400	

