
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1986	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1997	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	1	65	8	0	20	0	0	0	0	0	0	0	0	0	0	0	0	
2006	6	7	5	0	0	50	1	237	237	0	0	274452976	0	0	0	0	0	
2007	20	10	5	0	3	0	242	0	0	0	0	0	0	0	0	0	0	
2008	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	4	13	4	0	3	0	11	0	0	0	0	0	0	0	0	0	0	
2010	8	9	4	0	12	23	7	0	100	5	0	120000000	0	0	0	0	0	
TOTAL	65	107	29		38	74	261	237	337	5		394452976						

