Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1975	1	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1976	1	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	14	13	20038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	20	31	949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	1	0	6000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	2	1	770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	3	0	668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	15	5	844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	3	0	1230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	12	14	586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	4	2	613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	2	0	1026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	1	0	986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2020	1	1	2	0	0	0	2	2	2	2	0	0	0	0	0	0	0	
