Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	25	6	4	0	2	2	24	0	0	8	0	0	0	0	301718	0	10000	
1971	10	0	0	0	0	0	0	0	0	0	0	0	0	0	3150	50	0	
1972	6	0	0	0	0	0	0	0	0	0	0	0	0	0	12514	0	0	
1973	18	3	3	0	0	0	0	0	0	0	0	0	0	0	340004	0	0	
1974	20	5	0	0	3	0	0	0	0	12	1000000	0	0	0	1158100	3078	0	
1975	21	0	0	0	0	0	0	0	0	0	0	0	1	0	1265050	0	0	
1976	9	0	2	0	0	0	0	0	0	0	0	0	0	0	8553	38000	0	
1977	14	0	0	0	6	0	0	0	0	0	0	0	0	0	60950	0	0	
1978	9	0	3	0	0	0	0	0	0	0	0	0	0	0	300	1000	0	
1979	27	1	0	0	1	0	0	0	0	150	0	0	0	0	79155	500	0	
1980	18	0	1	0	0	0	0	0	0	0	0	0	0	0	351590	1500	0	
1981	10	0	0	0	0	0	0	0	0	0	0	0	0	0	36147	0	0	
1982	18	0	3	0	4	18	0	0	0	0	0	0	1	0	4440	3000	0	
1983	11	0	0	0	0	0	0	0	0	0	0	0	0	0	103700	0	0	
1984	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1906	0	0	
1985	19	4	2	6	0	0	0	0	0	0	0	0	0	0	414020	0	0	
1986	32	3	0	0	1	0	0	0	0	12	0	0	0	0	957960	260	0	
1987	23	0	0	0	0	0	0	0	0	423	517927	0	0	0	68681	0	0	
1988	27	5	5	77	0	10	0	0	0	70	0	0	0	0	187300	50	0	
1989	6	0	0	0	0	0	0	0	0	0	0	0	0	0	85140	0	0	
1990	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1320	0	0	
1991	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	0	0	
1993	11	0	0	0	0	0	0	0	0	100	0	0	0	0	855003	0	0	
1994	10	24	0	1	0	0	0	400	0	70	0	0	0	0	473000	0	0	
1995	5	1	0	0	0	0	0	0	0	0	0	0	0	0	153617	0	0	
1996	16	0	0	0	7	5	0	2030	0	108	60000000	0	0	0	102950	0	0	
1997	22	0	0	0	0	16	0	0	0	129	0	0	0	0	41006	0	0	
1998	10	0	0	0	2	0	0	0	0	0	0	0	0	0	41015	500	4000	
1999	50	2	7	0	18	0	0	7000	0	644	2300000	0	5	0	122132	14900	0	
2000	30	2	25	0	0	0	300	0	0	32	0	0	0	0	107977	0	0	
2001	28	10	5	0	6	0	24	0	0	56	10000000	0	0	0	2720055	1550	0	
2002	14	0	0	0	0	0	0	0	0	60	0	0	0	0	117730	0	0	
2003	45	3	0	0	1	8	0	0	0	604	0	0	0	0	115008	0	0	
2004	12	0	0	0	0	0	0	0	0	900	0	0	0	0	17020	0	0	
2005	31	2	6	0	12	0	120	0	0	460	52000000	0	1	16	41670	0	0	
2006	23	0	0	0	3	0	0	0	0	470	0	0	0	0	7415	0	0	
2007	13	0	55	0	0	0	0	50	0	304	0	0	1	1	6138.5	0	0	
2008	115	23	1075	0	3	5	0	340	0	429	0	0	2205	0	133740	0	0	
2009	80	5	298	0	15	20	186	150	0	2080	40000000	0	1	0	147640	0	10000	
2010	8	0	0	0	0	0	0	0	0	0	0	0	0	0	4000	0	0	
2011	8	0	0	0	10	0	0	0	0	260	0	0	0	0	6900	0	0	
2012	9	0	0	0	0	0	0	0	0	136	0	0	0	0	28500	0	0	
2013	61	1	30	0	6	110	0	0	0	832	0	0	0	0	330257.5	0	0	
2014	6	4	3	0	0	0	0	0	0	0	0	0	0	0	82170	0	0	
2015	24	0	0	0	10	0	40	0	0	12120	0	0	0	0	143603	0	0	
