Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	13	0	0	0	0	0	0	199	0	0	0	0	0	0	0	10	0	
1971	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	44	1	1	0	91	100	490	620	0	423	0	0	1	0	0	0	0	
1973	68	10	13	0	0	0	2468	575	0	21	0	0	0	0	1000000	0	0	
1974	8	5	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	
1975	51	2	0	2	30	0	101	0	0	95	0	0	0	0	0	0	0	
1976	9	0	0	0	0	0	41	0	0	200	0	0	0	0	0	0	0	
1977	22	1	1	7	0	0	0	880	0	40	0	0	0	0	0	0	0	
1978	5	1	6	0	0	0	20	0	0	0	0	0	0	0	0	0	0	
1979	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	18	1	16	100	0	0	549	0	0	123	0	0	0	0	0	15600	0	
1981	9	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	
1982	40	7	2	0	0	0	0	890	0	110	0	0	0	0	0	4000	0	
1983	10	3	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	
1984	62	31	1	102	28	0	0	5541	0	457	7040000	0	0	0	0	2282100	0	
1985	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	14	0	0	0	0	0	0	60	0	0	0	0	0	0	0	10960	0	
1987	20	0	0	0	3	0	0	2295	0	321	0	0	0	0	0	0	0	
1988	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	1	1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	37	10	8	0	0	240	390	63500	0	5484	15000000	0	0	0	200000	300000	190000	
1996	3	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3500	0	
1997	47	6	24	1	0	5045	5512	20527	0	776	6600000	0	1	1	0	1100	0	
1998	9	1	14	0	0	0	0	20000	0	0	0	0	1	0	0	0	0	
1999	7	2	1	0	0	0	0	2000	0	0	0	0	5	0	0	0	0	
2000	68	4	100	2	2	1	0	7849	0	155	0	0	1	0	0	0	0	
2001	92	9	8	6	1	0	2508	7135	0	10	0	0	1	0	0	800	0	
2002	21	1	0	0	0	0	5990	0	0	127	0	0	1	0	0	0	0	
2003	12	0	5	0	0	0	40	2540	0	0	0	0	0	0	0	0	0	
2004	23	3	16	0	0	12	0	2930	0	68	0	0	0	0	0	0	0	
2005	43	5	0	0	0	0	0	10120	0	33	0	0	0	0	0	0	0	
2006	19	3	25	0	0	2	0	90400	0	16	0	0	20	0	0	0	0	
2007	50	2	8	0	0	0	12000	111457	0	94	0	0	56	0	0	0	130000	
2008	30	0	0	0	8	0	500	63800	0	70	0	0	0	0	0	0	10000	
2009	35	1	6	0	0	0	4724	9801	0	0	0	0	0	0	0	0	0	
2010	7	4	1	2	0	0	0	600	0	1	0	0	0	0	0	0	0	
2012	13	1	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	
2013	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2015	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
