Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	54	5	5	0	42	50	1800	18204	0	87	0	0	2	0	0	0	800	
1971	56	5	5	0	1	0	0	0	0	93	0	0	0	1	350	0	0	
1972	62	6	31	0	101	3	2000	6012	0	5837	0	0	0	0	0	0	0	
1973	100	16	4	1	2	551	1940	6968	0	7304	20040	0	0	1	0	0	0	
1974	43	8	0	0	509	602	3732	0	0	1855	3006	0	1	1	2000	0	0	
1975	42	5	50	0	102	50	150	0	0	1310	0	0	2	1	1000	0	0	
1976	94	8	14	4	140	42	316	1173	0	7791	0	0	2	2	1100	0	0	
1977	62	4	54	0	383	2127	1650	5400	0	8104	0	0	8	2	0	0	0	
1978	52	15	5	0	87	0	284	0	0	240	0	0	2	0	0	0	0	
1979	45	8	102	0	17	531	4	1000	0	690	0	0	2	0	1500	50	30000	
1980	49	6	52	0	36	3	122	1400	0	1604	0	0	2	1	0	0	0	
1981	115	15	45	3	34	324	200	18900	0	284	4000000000	0	3	1	5440	0	0	
1982	60	10	13	0	182	170	0	0	0	9694	3000000	0	0	0	0	0	0	
1983	77	17	210	0	5747	150	0	706	0	3266	0	0	2	0	0	0	0	
1984	53	12	15	0	25	223	1	0	0	3260	0	0	0	0	0	0	0	
1985	47	3	12	0	445	200	150	3672	0	662	0	0	0	0	2200	0	0	
1986	73	6	3	0	600	20	0	11000	0	4675	0	0	0	1	3900	0	0	
1987	41	5	3	0	0	30	0	143100	0	820	31872	0	0	1	0	0	0	
1988	3	0	0	0	0	100	400	0	0	0	0	0	0	0	0	0	0	
1989	93	8	19	1	101	110	920	100064	0	20508	0	0	2	4	0	0	0	
1990	69	22	41	0	33	0	0	0	0	420	2000000	0	0	6	40000	0	0	
1991	93	13	162	0	20	1000	0	720140	0	1052	27500007	0	0	0	100050	0	0	
1992	50	16	34	4	310	20	130	80407	0	1276	0	0	0	0	3200	1000	0	
1993	181	32	42	2	20	86	12122	1621980	0	18819	8	0	9	1	0	0	1200	
1994	31	5	36	0	47	6100	0	887000	0	2179	30000000	0	3	1	10000	0	0	
1995	5	1	0	0	0	0	0	0	0	0	0	0	0	0	800000	0	0	
1996	23	0	0	4	0	0	0	0	0	2383	0	0	0	1	0	0	0	
1997	52	17	48	1	610	110	204	220000	0	1608	0	0	0	1	0	0	0	
1998	119	21	6	12	1125	145	5380	204021	0	2374	0	0	24	0	25500	0	0	
1999	59	5	2	1	2	324	0	16500	0	2324	0	0	1	0	0	0	0	
2000	110	8	103	0	366	665	700	150790	0	24828	0	0	23	0	0	0	0	
2001	83	13	2434	1	3085	487	668	1375048	0	28534	0	0	2	0	12000	0	0	
2002	101	8	32	0	17	3014	2420	307	0	5667	0	0	10	0	10	0	0	
2003	108	26	351	2	181	266	500	505775	0	1618	0	0	1	0	0	0	0	
2004	79	13	55	6	1505	664	8715	31000	0	535	0	0	1	1	0	0	0	
2005	85	24	21	1	53	631	2720	103300	0	6794	0	0	20	0	3500	0	0	
2006	83	9	38	1	3	5100	0	485500	0	3494	0	0	0	1	2000000	0	0	
2007	140	17	53	1	153	8467	3080	175001	0	1745	250050	0	151	1	5000	0	0	
2008	44	11	21	0	1	680	2400	0	0	1729	0	0	0	0	0	0	0	
2009	88	15	208	1	277	340	26228	0	0	2257	0	0	4	1	0	0	0	
2010	38	15	103	0	0	60	0	150000	0	528	0	0	0	0	400	0	0	
2011	52	13	79	0	1	2	4	0	0	60	0	0	0	0	0	0	0	
2012	77	6	37	0	1	324	0	2002	0	6272	0	0	0	0	25000	0	0	
2013	70	11	76	0	4	304	0	260	0	150	0	0	0	0	0	0	0	
2014	33	2	11	4	11	0	0	1200	0	2980	0	0	3	0	0	0	0	
2015	23	4	12	0	1	0	0	0	0	90	0	0	0	0	0	0	0	
