Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	44	53	44	0	0	4	0	0	0	0	0	0	0	0	0	0	0	
1971	12	0	11	0	18	0	0	0	0	60	0	0	0	0	0	0	0	
1972	5	6	11	0	15	0	56	0	0	0	0	0	0	0	0	0	0	
1973	14	5	32	1	0	46	0	0	0	360	0	0	1	0	0	0	0	
1975	5	13	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1976	5	7	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1977	6	11	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1978	3	1	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1979	7	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1980	5	21	37	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1981	15	11	28	0	0	0	0	0	0	500	0	0	0	0	12000	0	0	
1984	1	0	0	0	0	0	0	5000	0	0	0	0	0	0	0	0	0	
1985	3	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	4	0	2	0	0	0	0	90000	0	0	0	0	0	0	0	0	0	
1987	5	9	92	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1988	24	1	30	0	0	0	0	3500	0	0	0	0	0	0	30	0	0	
1989	24	4	4	0	0	0	0	3205000	0	0	0	0	0	4	0	0	0	
1990	7	0	0	0	0	0	0	50000	0	0	0	0	0	0	0	0	700	
1991	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	2	0	0	0	0	0	130	1000000	0	0	0	0	0	0	0	0	0	
1993	1	0	0	0	0	0	0	234000	0	0	0	0	0	0	0	0	0	
1994	6	0	0	0	0	0	137	218000	0	0	0	0	1	2	0	0	1100	
1995	3	1	0	0	1	0	0	1000000	0	0	0	0	0	0	0	0	0	
1996	1	1	0	0	0	0	0	500000	0	0	0	0	0	0	0	0	0	
1997	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	
1998	9	0	10	0	8	2	28	0	0	0	0	0	0	0	25	0	100100	
1999	28	1	11	0	0	9	0	0	0	0	0	0	0	0	0	0	0	
2000	14	7	9	1	1	2	900	3350	0	0	0	0	2	0	13000	0	0	
2001	11	11	7	0	0	0	650	202000	0	0	0	0	1	0	0	0	0	
2002	63	14	2	0	0	0	0	917700	0	21	0	0	2	3	0	0	900000	
2003	58	2	27	5	2	1	0	5367400	0	0	0	0	2	0	0	0	0	
2004	62	1	16	0	0	0	0	1031390	0	40	0	0	3	0	0	0	0	
2005	68	8	59	0	1	3	32	336580	0	230	0	0	2	0	0	0	0	
2006	79	5	76	0	1	1	0	1459030	0	0	0	0	670	0	0	0	0	
2007	146	20	87	0	3	17	26108	518104	0	34	10000	0	164	3	0	0	0	
2008	144	5	98	0	0	1	0	644815	100	0	1000	0	53	1	0	0	0	
2009	6	2	37	0	1	0	2	100000	0	2	0	0	0	0	0	0	0	
2010	5	5	48	0	0	0	0	500000	0	0	0	0	0	0	0	0	0	
2011	12	4	24	0	1	0	0	0	0	120	0	0	0	0	0	0	0	
2012	12	8	22	0	0	0	0	150400	0	0	0	0	0	0	0	0	0	
2013	8	2	55	0	1	0	0	1	0	0	0	0	0	0	0	0	0	
2014	5	11	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2015	10	4	9	0	0	0	0	35000	0	0	0	0	0	0	0	0	0	
