Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1980	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	1	0	0	0	0	0	2	0	0	0	10000	20000	0	0	0	0	0	
1982	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	4	0	13	0	0	0	19	0	0	0	0	0	0	0	0	0	0	
1990	3	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
1995	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
2005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2015	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
2016	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
