Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1099	1	0	0	0	2	2	0	4	0	0	0	0	0	0	0	0	0	
1980	40	7	3	0	27	10	73	0	26	3	300000	2500000	0	0	0	0	0	
1981	39	2	5	0	23	14	83	17	10	0	489500	979000	0	0	0	0	0	
1982	51	3	2	0	34	18	71	103	0	143	1142137.5	2284275	0	0	0	0	0	
1983	39	8	3	0	30	11	121	0	0	1	0	4083000	0	0	0	0	0	
1984	34	2	0	0	30	19	84	3	27	32	1402500	2805000	0	0	0	0	0	
1985	40	2	0	0	34	8	101	12	0	0	1547500	3645000	0	0	0	0	0	
1986	52	10	51	0	53	18	134	9	34	3	1319250	659625	0	0	0	0	0	
1987	49	1	11	0	35	13	105	10	6	8	0	200000	0	0	0	0	0	
1988	65	5	7	0	49	14	174	69	0	0	2062000	4124000	2	0	0	0	0	
1989	45	0	0	0	27	16	55	416	4	5	1912500	3825000	0	0	2.4	0	0	
1990	38	2	3	0	26	11	62	262	16	6	15065000	30130000	1	0	0	0	0	
1991	31	10	6	0	30	11	89	2	0	46	355000	710000	0	0	0	0	0	
1992	35	2	6	0	38	5	90	130	0	0	297000	3294000	0	0	0	0	0	
1993	56	3	11	0	48	14	136	34	1	3	40396000	20198000	0	0	0	0	0	
1994	34	2	6	0	38	12	77	18	2	6	0	0	0	0	0	0	0	
1995	56	1	5	0	43	26	126	85	4	0	35300	1570600	0	1	0	0	0	
1996	37	1	8	0	24	16	73	78	0	0	142500	285000	1	0	0	0	0	
1997	53	2	3	0	43	19	145	160	0	0	121500	243000	0	0	0	0	0	
1998	27	0	4	4	25	20	71	8	0	43	0	0	0	0	0	0	0	
1999	44	1	1	0	57	16	109	28	0	0	97500	195000	0	0	0	0	0	
2000	41	5	3	0	33	11	89	36	0	1	200000	100000	4	0	0	0	0	
2001	66	2	4	0	54	30	165	51	20	2	0	500000	0	0	0	0	0	
2002	31	0	3	0	22	19	58	20	0	0	0	0	1	0	0	0	0	
2003	40	4	3	0	43	29	114	111	2	0	122000	244000	0	0	0	0	0	
2004	22	0	3	0	27	11	55	2	0	0	25000	50000	0	0	0	0	0	
2005	23	4	1	0	28	7	85	3	6	75	0	0	0	0	0	0	0	
2006	20	1	5	0	21	9	40	34	0	27	897500	1795000	0	0	0	0	0	
2007	47	1	4	0	38	17	122	57	11	1	2186000	1093000	2	0	0	0	0	
2008	39	4	5	0	28	11	101	85	3	5	0	1800000	0	0	7.878	0	0	
2009	41	1	5	0	25	23	81	49	16	0	1817500	3635000	1	0	0	0	0	
2010	42	7	1	0	32	11	87	37	0	0	50000	100000	0	1	0	0	0	
2011	30	0	2	0	29	8	82	1	0	3	50000	25000	2	0	0	0	0	
2012	18	0	1	0	17	5	94	0	0	56	100000	200000	0	0	0	0	0	
2013	29	0	3	0	24	15	46	101	0	0	320000	640000	0	0	0	0	0	
2014	48	1	6	0	38	30	62	0	16	0	219500	439000	0	0	0	7600	0	
2015	40	1	4	0	27	18	51	9	0	2	0	0	1	0	0	0	0	
2016	40	2	2	0	34	11	91	38	0	0	25000	50000	0	0	0	0	0	
2017	34	2	3	0	37	11	66	0	0	0	0	0	2	0	0	0	0	
