Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1971	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1976	1	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1978	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	3	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	6	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	
1981	4	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	854	0	
1989	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	
1992	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	5	0	0	0	0	0	0	0	0	0	0	15000000	0	0	0	0	0	
1994	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	3	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	
1997	4	0	273	0	0	0	0	0	0	0	0	0	0	0	0	100	0	
1998	10	23	338	0	0	0	0	0	0	0	0	0	0	0	0	100	0	
1999	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	5	26	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	6	0	10	0	0	0	9	0	0	0	0	0	0	0	400	0	0	
2002	3	3	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	3	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	
2004	4	0	803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	22	2	9730	0	0	0	0	2400	0	0	0	0	0	0	0	0	0	
2006	4	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	4	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	8	2	2578	0	0	0	600	0	0	0	0	0	0	0	0	0	0	
2009	3	1	10	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	
2010	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
