Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	16	0	1	0	0	3	100	0	0	0	0	0	0	0	0	0	0	
1971	73	81	378	0	13160	92	2784	0	0	1784	0	0	7	22	300	0	0	
1972	3	0	0	0	0	5	20	0	0	20	0	0	0	0	0	0	0	
1973	2	1	0	0	0	1	50	0	0	0	0	0	0	0	0	0	0	
1974	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1975	83	1	18	0	0	580	2	2320	0	0	0	0	0	0	0	0	0	
1976	9	0	37	0	16	35	0	0	0	0	0	0	0	1	0	0	11200	
1977	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1978	3	1	7	0	7	0	427	0	0	0	0	0	0	1	0	0	0	
1980	2	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1981	6	2	15	0	0	0	0	0	0	0	0	700000	0	1	0	0	18	
1983	13	4	8	0	100	1217	620	700	48	48	0	0	1	1	0	0	0	
1985	61	122	796	1	25056	3008	118104	0	0	4840	0	4000000	22	8	160	0	0	
1986	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	18	5	367	0	16	341	1094	250	115	0	0	0	4	0	0	0	0	
1988	10	0	1	0	0	57	0	0	0	0	0	0	0	0	0	0	0	
1990	5	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
1991	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	1	0	0	0	0	2	9	0	0	0	0	0	0	0	0	0	0	
1993	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	7	0	50	0	370	0	600	0	0	0	825000	0	1	0	0	0	0	
1996	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	20	16	194	0	9621	22629	75152	0	885	0	0	52000000000	0	0	0	0	0	
1998	27	1	16	0	0	313	0	0	0	0	0	0	0	0	0	0	0	
1999	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	4	2	60	0	45	1147	275	185268	0	0	0	2108000000	0	0	0	0	0	
2002	1	0	47	0	264	0	2424	0	0	30	0	0	0	0	0	0	0	
2003	2	0	0	0	1	0	3	156158	0	0	0	0	0	0	0	0	0	
2004	6	1	1	0	0	0	0	300	0	0	0	0	0	0	0	0	0	
2005	7	5	107	0	1148	920	3816	2444	0	0	4000000	2369480000	0	0	0	0	0	
2006	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	5	2	135	0	3862	0	16231	20000	0	30	23000000	11656400000	0	0	0	0	0	
2008	2	2	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
2010	10	660	117	359	521566	1265428	2159799	100	631	579	0	0	0	8	0	0	0	
2012	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
