Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1922	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1923	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1924	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1927	2	8	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	
1929	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1930	2	0	0	0	10	0	0	600	0	0	0	0	0	0	0	0	0	
1932	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
1935	2	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	
1936	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	
1937	5	0	0	0	101	0	0	410	0	0	0	0	0	0	0	0	0	
1938	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1939	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1940	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1942	5	2	6	0	60	0	0	0	0	0	0	0	0	0	0	0	0	
1943	3	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1944	6	3	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
1946	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1948	3	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1951	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	
1952	3	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	
1953	4	1	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	
1955	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	
1960	2	0	0	0	2	0	0	10	0	0	0	0	0	0	0	0	0	
1961	3	2	3	0	100	0	0	0	0	0	0	0	0	0	0	0	1	
1962	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1963	2	0	0	0	1	0	0	523	0	0	0	0	0	0	0	0	0	
1964	3	1	1	0	12	0	0	500	0	0	0	0	0	0	0	0	0	
1965	2	1	0	0	1	0	0	38	0	0	0	0	0	0	0	0	0	
1966	3	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1967	2	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	
1968	1	1	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	
1970	5	1	3	0	26	0	100	0	0	0	0	0	1	0	0	0	0	
1971	13	1	246	0	0	406	0	2361	0	0	0	8650000	6	1	0	0	0	
1972	7	0	0	0	1	0	0	0	0	0	0	1000000	2	0	0	0	0	
1973	22	7	2	0	9	3	1463	445	0	124	0	67800000	4	1	0	0	1	
1974	8	18	5	0	75	15	268	0	0	0	0	1100000	1	1	400	0	0	
1975	4	2	1	0	15	0	35	0	0	0	0	50000	0	0	0	0	0	
1976	10	5	7	3	50	122	614	630	0	0	0	2500000	2	0	0	0	0	
1977	7	3	1	0	12	0	40	0	0	0	0	0	0	0	0	0	0	
1978	3	8	0	0	1	20	7	0	0	0	0	200000	0	0	0	0	0	
1979	8	3	80	0	173	0	1244	1000	0	0	0	2000000	0	0	0	0	0	
1980	9	7	6	0	240	0	253	1417	0	0	0	0	0	0	0	0	0	
1981	9	2	3	0	57	12	175	223	0	0	0	20000000	0	0	0	0	0	
1982	13	0	37	0	7	162	92	100	0	0	0	20500000	0	0	0	0	0	
1983	9	1	20	0	0	0	0	0	0	0	0	10000000	0	0	0	0	0	
1984	10	0	1	0	26	0	602	460	0	0	0	0	0	0	0	0	0	
1985	13	4	2	0	0	107	315	0	0	0	0	0	0	0	0	0	0	
1986	11	0	11	0	24	45	0	22	0	400	0	8000000	0	0	0	0	0	
1987	10	16	7	0	190	32	1429	50	0	0	0	30000000	0	0	0	0	1	
1988	9	3	3	0	55	540	1020	4000	0	251	0	0	0	0	3000	0	0	
1989	3	8	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	11	3	0	3	120	83	450	872	0	0	0	7600000	0	0	750	0	0	
1991	7	5	2	6	65	0	112	0	0	0	0	0	0	0	0	0	0	
1992	5	0	0	0	0	20	0	0	0	0	0	20000000	6	0	0	0	0	
1993	13	3	12	0	55	578	5406	42	0	50	20000000	19000000	0	0	11000	0	0	
1994	11	2	12	0	15	293	250	0	0	0	0	200000000	0	0	300	0	0	
1995	5	2	7	0	138	91	1266	0	0	0	0	100000000	4	0	0	0	3	
1996	3	0	1	0	0	0	0	235	0	0	0	1000000000	0	0	3000	0	0	
1997	1	0	0	0	10	0	0	10000	0	0	0	150000000	0	0	0	0	0	
1998	7	1	11	0	19	8	216	0	0	0	0	0	0	0	0	0	0	
