Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1974	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1975	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
2000	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
2002	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
2006	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	3	2	7	0	0	0	0	0	0	0	0	0	0	0	0	9	0	
2010	4	4	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	4	4	4	0	0	0	1	0	0	0	0	9000000	0	0	0	21	0	
2012	6	3	2	0	1	1	8	0	0	0	0	0	0	0	0	0	0	
2013	6	2	3	0	0	1	6	0	0	0	0	1500000	0	0	0	2	0	
2014	5	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2015	4	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2016	3	1	8	0	0	0	0	8	0	0	0	0	0	0	0	0	0	
2017	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2018	4	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2019	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
