Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1968	4	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1975	2	0	0	0	0	0	53	0	0	40	0	0	0	0	5000	5400	0	
1988	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	3	0	0	0	0	0	0	0	0	0	108631	10000000	0	0	0	0	0	
1993	3	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	
1994	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	2	0	0	0	0	0	552	0	0	552	0	0	0	0	0	0	0	
2000	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	6	0	0	0	0	7	33	0	0	37	0	0	0	0	0	0	0	
2014	3	0	0	0	0	61	244	0	0	0	0	0	15	0	40	2676	0	
2016	9	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	
2019	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
