Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	147	11	1	4	130	856	14931	500	0	5173	0	0	1	2	1800	0	1700	
1971	43	1	0	0	18	277	3084	0	0	1436	0	0	0	0	0	0	0	
1972	13	3	0	0	0	20	7	0	0	0	0	0	0	0	0	0	0	
1973	42	0	0	0	28	254	2458	0	0	1840	0	0	0	0	0	0	0	
1974	41	0	0	0	6	188	2087	0	0	918	0	0	2	0	0	0	0	
1975	35	1	0	0	5	116	320	0	0	252	0	2000000	0	0	500	0	0	
1976	22	2	0	0	8	22	98	0	0	80	0	0	0	0	0	0	0	
1977	15	0	0	0	0	506	308	0	0	35	0	500000	0	0	0	0	3	
1978	28	0	0	0	0	378	1979	0	0	527	0	0	0	0	350	0	0	
1979	47	6	0	0	5	164	2676	0	0	2226	0	0	0	0	11600	0	0	
1980	19	4	0	0	0	29	400	0	0	266	0	0	0	0	0	0	0	
1981	20	1	0	0	0	4	44	4	0	44	283286	60000000	0	0	0	0	0	
1982	17	2	0	0	0	29	211	0	0	201	125722	5000000	0	0	0	0	0	
1983	7	0	0	0	5	51	250	0	0	141	120307	5000000	0	0	0	0	0	
1984	11	0	0	0	7	33	911	0	84	164	0	0	0	0	0	0	0	
1985	15	0	0	0	0	201	694	0	0	334	0	0	0	0	0	0	0	
1986	8	0	0	0	0	14	32	0	0	32	0	0	0	0	0	0	0	
1987	28	3	0	0	7	163	791	100	500	691	0	0	0	0	0	0	0	
1988	71	20	0	20	33	511	5810	9	0	4510	0	0	1	0	0	0	0	
1989	1	3	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	
1990	16	0	0	0	9	57	798	0	60	738	0	0	0	0	0	0	0	
1991	57	4	0	1	26	48	1413	0	0	1272	0	0	0	0	0	0	0	
1992	68	2	0	0	25	89	2026	0	0	1855	372411	50000000	0	0	0	0	0	
1993	47	2	0	0	15	273	449	2000	0	208	0	0	1	0	0	0	0	
1994	44	5	0	4	238	86	229	2144	0	250	0	0	0	0	0	0	0	
1995	43	1	0	0	75	696	6229	111	0	3426	0	0	0	0	0	0	0	
1996	171	23	0	0	587	991	11631	700	23	6424	0	0	2	0	0	0	0	
1997	67	0	0	0	8	765	1236	0	14	1235	0	0	0	0	0	0	0	
1998	122	0	0	2	60	1323	6186	0	117	7656	0	195500000	41	0	1500	0	349800	
1999	311	1	0	0	122	4406	13527	2750	18	12026	0	0	8	1	90	0	16000	
2000	177	1	0	0	2	1452	3169	0	14	1962	0	0	4	0	0	0	7400	
2001	250	0	0	0	18	1426	3789	432	0	2200	0	0	2	1	0	0	1080	
2002	233	2	0	0	70	1263	11971	0	1	11670	0	0	4	4	5785	0	100	
2003	388	1	0	0	23	1227	1506	0	0	235	0	50000000	3	2	0	0	0	
2004	452	3	0	0	5	1514	1551	10	0	1315	0	0	4	2	0	0	0	
2005	612	5	4	0	13	2907	11810	60	0	2561	0	58979244665	9	6	0	0	3220	
2006	362	0	0	0	1	1284	2162	17	0	155	0	0	9	0	0	0	0	
2007	865	13	2	2	96	6635	19533	4	0	4648	0	0	10	1	0	0	26036	
2008	719	1	5	0	177	2249	3239	11215	0	298	0	0	16	2	0	0	5600	
2009	250	0	0	0	0	773	3413	0	0	1048	0	0	1	0	0	0	1500	
2010	767	1	0	1	6	10020	26302	2014	0	3990	0	0	12	4	0	0	150	
2011	656	0	0	0	0	1984	8081	90	0	1485	0	0	6	1	0	0	300	
2012	313	4	0	1	4	1144	4836	550	0	1757	0	0	11	1	0	0	0	
2013	442	0	1	0	15	1100	4491	2158	25	61	0	0	5	2	0	0	0	
2014	173	0	10	1	0	2079	7943	920	5	615	0	0	6	0	0	0	4100	
2015	90	0	0	0	14	414	1700	0	28	120	0	0	130	0	0	0	63800	
2016	37	1	0	0	10	330	1301	0	42	26	233531.76	445225000	6	2	51	1267	11500	
2017	188	1	0	0	186	1080	5016	0	88	1703	1360648595	41154175960	21	2	135849.16	171405	3523715	
2018	111	1	0	1	13	1657	2597	10322	0	6372	397388.31	1255600000	79	1	1	13	0	
2019	38	0	0	0	2	924	8	309	0	706	0	0	0	0	0	0	5000	
