Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	23	4	0	0	2	38	250	0	244	244	0	0	0	0	0	0	1400	
1971	8	3	0	0	1	0	74	0	4	4	0	0	0	0	0	0	504	
1972	7	5	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	
1973	17	14	0	0	4	57	184	0	0	78	0	0	0	0	0	60	0	
1974	23	1	0	0	3	26	7	0	0	0	0	0	0	0	0	0	50	
1975	18	2	0	0	2	25	100	0	0	97	0	0	0	1	0	0	0	
1976	10	1	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	
1977	1	0	0	0	1	0	18	0	0	0	0	0	0	0	0	0	0	
1978	5	1	0	0	0	5	35	0	0	11	0	0	0	0	0	0	450	
1979	6	0	0	0	3	15	130	900	0	200	0	0	0	0	0	0	0	
1980	8	5	0	0	0	0	151	0	0	150	0	0	0	0	0	0	0	
1981	6	2	0	0	0	6	18	0	0	0	0	0	0	0	0	0	0	
1982	5	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	
1983	7	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
1984	9	1	0	0	1	8	31	0	0	0	0	9000000	0	0	0	0	0	
1985	11	0	0	0	2	1	4	0	0	0	13872	700000	0	0	0	0	0	
1986	7	13	0	0	1	0	12	0	0	0	1783	100000	0	0	0	0	0	
1987	14	1	0	0	1	0	134	0	0	54	17515	1100000	0	0	0	0	0	
1988	21	6	0	0	2	1	124	0	0	122	6588	500000	1	0	0	0	0	
1989	4	2	0	0	2	2	25	0	0	23	0	0	0	0	0	0	0	
1990	14	2	0	0	1	3	257	0	0	8	162919	15000000	1	0	0	0	0	
1991	8	0	0	0	0	5	20	0	0	0	409500	50000000	0	0	500	0	0	
1992	14	8	0	0	3	15	233	0	0	0	0	0	0	0	0	0	0	
1993	5	5	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	
1994	13	6	0	0	8	8	89	700	0	0	0	0	0	0	0	0	0	
1995	26	8	0	0	22	59	284	5	0	40	0	0	0	0	0	0	0	
1996	54	22	0	0	26	34	132	2	23	127	0	0	0	0	0	0	0	
1997	23	2	0	0	6	11	26	0	0	0	0	0	0	0	0	0	0	
1998	41	0	0	0	9	97	243	0	0	79	0	0	2	0	0	0	230	
1999	152	3	0	0	17	313	743	150	0	454	0	0	0	0	0	0	185	
2000	116	0	0	8	3	109	578	0	0	378	0	0	0	0	0	0	2282	
2001	109	2	0	0	3	89	49	0	0	10	0	0	0	0	9	0	5425	
2002	90	4	0	7	23	111	226	0	0	599	0	0	0	0	3000	0	170	
2003	119	0	0	0	4	116	81	0	0	35	0	0	1	0	0	0	65	
2004	195	3	0	0	2	154	45	8	0	37	0	394377200	0	0	0	0	75035	
2005	279	3	2	0	17	202	8310	0	0	9	0	0	4	0	0	0	1656	
2006	103	0	0	0	1	113	265	650	0	0	0	0	4	0	0	0	0	
2007	480	15	6	0	65	737	885	0	0	159	0	0	9	1	0	0	42800	
2008	445	3	9	2	36	453	393	2276	0	0	0	0	2	0	0	0	130	
2009	110	12	4	0	0	64	260	0	0	0	0	0	1	0	0	0	100	
2010	199	32	0	1	30	225	1277	2655	125	675	0	0	2	0	0	0	20	
2011	284	2	0	0	16	102	625	1132	45	214	0	460000000	2	0	0	0	11760	
2012	156	1	5	1	5	81	349	100000	0	32	0	0	1	1	0	1	200	
2013	161	2	2	0	3	136	489	320	0	281	0	0	4	0	0	0	12	
2014	63	2	5	1	3	344	1449	6550	0	83	1100000	600000	1	0	0	0	39640	
2015	121	1	0	0	7	8	60	0	8	20	0	0	0	0	0	0	1100861	
2016	23	2	0	0	4	10	147	0	0	80	882062.18	458816750	0	0	0	0	175385	
2017	197	8	1	0	100	232	1138	0	117	697	40221012.57	22515033371	8	1	422.39	131741	1699217	
2018	67	1	0	1	7	254	298	5153	0	911	243223.29	145000000	1	0	1	0	409	
2019	24	0	2	0	25	139	0	0	0	118	0	0	0	0	0	0	100	
