Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1944	1	1	3	0	0	0	0	2	0	2	0	0	0	0	11	80	0	
1985	1	180	2	0	0	0	0	0	0	2	0	0	0	0	0	180	0	
1986	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	
1999	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	1	0	35	0	0	0	0	0	0	4	0	0	0	0	0	0	0	
2006	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	3	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	
2010	3	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	
2011	9	2	1	0	0	0	1	1	0	7	0	0	0	0	2	566	0	
