Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1979	10	0	0	0	0	0	0	73795	0	0	0	0	0	0	0	0	0	
1980	10	0	0	0	0	0	0	73795	0	0	0	0	0	0	0	0	0	
1981	10	0	0	0	0	0	0	73795	0	0	0	0	0	0	0	0	0	
1983	10	0	0	0	0	0	0	73795	0	0	0	0	0	0	0	0	0	
1987	10	0	0	0	0	0	0	73795	0	0	0	0	0	0	0	0	0	
1993	10	0	0	0	0	0	0	71119	0	0	0	0	0	0	0	0	0	
1996	21	0	0	0	0	0	0	151295	0	0	0	0	0	0	0	0	0	
2000	10	0	0	0	0	0	0	71183	0	0	0	0	0	0	0	0	0	
2004	11	0	0	0	0	0	0	79724	0	0	0	0	0	0	0	0	0	
2010	10	0	0	0	0	0	0	70739	0	0	0	0	0	0	0	0	0	
2011	11	0	0	0	0	0	0	79759	0	0	0	0	0	0	0	0	0	
2012	21	0	0	0	0	0	0	151136	0	0	0	0	0	0	0	0	0	
