Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1967	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1968	17	0	0	0	0	0	0	83500	0	0	0	0	0	0	0	50	0	
1969	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	2	0	0	0	0	0	0	0	0	0	0	1000000	0	0	0	0	0	
1974	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1975	13	0	0	0	0	0	0	0	0	0	0	72000000	0	0	7750	0	0	
1976	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	6	0	0	0	0	0	0	0	0	0	0	3000000	0	0	0	0	0	
1984	2	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	
1989	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	0	
1990	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2843.8	300	0	
1991	23	0	0	0	0	0	0	0	0	0	15000000	250000000	0	0	0	0	0	
1992	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	
1993	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	9	0	0	0	0	0	0	0	0	0	0	27000000	0	0	0	0	0	
1996	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	
1998	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	
2000	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
