Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1968	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1970	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1976	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	7	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	5	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	9	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
