Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1978	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	7	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	
1981	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	14	0	0	0	0	0	0	200000	0	0	0	300000000	0	0	39000	0	0	
1991	7	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	
1992	7	0	0	0	0	0	0	0	0	0	0	1000000000	0	0	60000	0	0	
1995	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1250	0	0	
1997	5	0	0	0	0	0	316	0	0	0	0	0	0	0	200	800	0	
2001	5	0	0	0	0	0	0	0	0	0	0	0	0	0	101000	0	0	
2002	4	0	0	0	0	0	0	250	0	0	0	0	0	0	0	600	0	
2003	5	0	0	0	0	0	0	0	0	0	200000	0	0	0	2931	0	0	
2004	12	0	0	0	0	0	0	0	0	0	786312	0	0	0	12400	0	0	
2009	30	0	0	0	0	0	0	0	0	0	0	0	0	0	950	0	0	
2013	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
