Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	2	16	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1971	1	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	3	43	20	0	7	0	0	0	0	0	0	0	0	0	0	0	0	
1974	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1975	2	6	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1976	2	5	7	70	6	0	0	0	0	0	0	0	0	0	0	0	0	
1977	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1978	3	6	11	0	6	0	40	0	60	0	0	0	0	0	0	0	0	
1980	3	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	
1982	9	17	9	0	2	1	0	0	0	0	0	0	0	0	0	0	0	
1983	21	242	45	5	35	2	0	0	0	0	0	50000	0	0	0	0	800	
1984	8	20	22	0	36	1	0	0	0	0	0	0	0	0	0	0	0	
1985	4	7	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1986	3	0	0	2	6	1	0	0	0	0	0	0	0	0	0	0	0	
1987	10	83	81	0	1	0	30	0	0	0	0	0	0	0	0	0	0	
1988	5	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1000	
1989	21	58	13	2	11	0	36	0	0	0	0	100	0	0	0	0	0	
1990	18	8	0	0	42	0	0	44003	0	0	0	680000110	0	0	70.02	0	85000	
1991	8	3	0	0	40	0	0	0	0	0	0	800	0	0	0	0	100	
1992	10	13	0	0	0	0	2500	169	0	0	0	0	0	0	0	0	70000	
1993	16	224	22	328	170	0	0	92	0	0	0	3012	0	0	2812	0	0	
1994	20	29	21	16	51	0	150	4000	0	0	0	0	0	0	0	0	0	
1995	10	10	0	0	7	0	0	0	0	0	0	1500	0	0	0	0	0	
1996	15	14	6	0	101	10	60	0	0	0	0	0	0	1	0	0	0	
1997	43	56	23	1	73	59	731	8975	0	841	0	5055500	0	1	475	0	40	
1998	99	100	107	42	643	748	900	7610	0	2019	0	217318200	494	0	16830	0	680002	
1999	18	32	7	1	156	8	1340	5000	0	1340	0	0	3	0	6.5	0	0	
2000	35	60	5	14	134	105	484	16790	398	1944	3	700	0	0	79	0	0	
2001	15	85	6	5	12	16	100	316	0	0	0	0	0	0	0	150	300	
2002	57	31	22	66	183	562	1399	17710	190	1451	15000	0	0	0	10	0	61770	
2003	22	2	0	1	6	6	124	40	0	109	0	0	0	0	0	0	100	
2004	41	15	0	12	18	93	93	290	0	0	0	0	1	0	0	0	220	
2005	49	7	0	1	11	84	431	52	0	5	0	0	0	0	0	0	215	
2006	50	11	0	0	28	187	140	1124	0	61	35000	30000	2	0	15	0	8420	
2007	71	5	4	3	50	66	156	256	3	141	0	0	0	0	6	0	860	
2008	250	24	22	7	131	622	204	3219	132	618	0	2500	1	1	20012	8	8605	
2009	93	5	6	0	39	76	155	135	16	91	6000	0	0	1	0	4	1030	
2010	197	37	15	0	3	5	1015	6351	0	852	0	0	0	0	0	0	406	
2011	428	62	51	1	95	962	283	21469	0	1180	0	0	14	0	1247.3	0	2283.2	
2012	557	39	49	0	80	1938	895	13746	0	2772	0	0	12	0	26.2	4111	211591	
2013	387	36	32	3	23	207	141	4142	0	209	0	0	6	0	15	10000	32879.5	
2014	676	18	38	8	31	214	271	13866	0	289	0	0	7	0	0	0	36824	
2015	1007	38	53	7	85	299	767	4183	7	119	0	0	6	0	432	205	50514.5	
2016	1108	20	38	0	38	468	0	29109	0	210	0	0	8	0	23.3	0	60320	
2017	1372	37	26	0	53	890	228	5835	0	526	0	0	1	0	80	0	69564.5	
2018	709	51	84	1	32	117	145	844	0	292	0	0	1	0	20	0	21963.5	
2019	291	7	6	0	9	104	62	1370	0	57	0	0	2	0	0	0	14167	
