Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1977	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	2	4	0	0	0	0	50	0	0	0	0	0	0	0	0	0	8500	
1988	2	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	
1989	2	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	
1990	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1991	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	7	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	5	100	0	0	575	178	0	5656	2000	5000	146700000	0	0	0	2473	0	105000	
1994	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	3	0	0	0	7	0	9	0	0	0	0	0	0	0	0	0	0	
1996	2	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1997	8	10	0	3	3	1030	80	0	0	80	0	0	0	0	1025	0	0	
1998	9	7	0	16	4	18	0	0	0	0	1104000	0	0	1	420	0	0	
1999	3	5	0	2	20	0	0	0	0	0	0	0	0	0	0	0	0	
2000	1	1	0	0	0	16	85	0	0	85	0	0	0	0	0	0	0	
2002	4	0	0	0	0	0	460	6000	0	0	0	0	0	0	50	0	0	
2004	1	1	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	
2007	1	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	
2009	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
2018	1	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	
