Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1905	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1912	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1913	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	
1915	21	4	0	0	18	15	48	32	0	0	0	0	0	0	0	0	0	
1916	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1917	19	2	2	0	6	9	2	0	0	0	0	0	0	0	0	0	0	
1918	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1919	5	21	2	0	3	4	0	0	0	0	0	0	0	0	0	0	0	
1921	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1922	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1923	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
1924	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1925	6	0	3	0	2	3	6	0	0	0	0	0	0	0	0	0	0	
1926	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1927	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
1929	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
1930	7	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	
1931	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1932	3	1	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	
1933	6	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	
1934	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	
1935	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1936	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1937	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1939	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1940	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1941	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	
1947	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1949	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1951	12	391	1100	12000	7110	0	20565	16600	0	0	0	0	0	0	0	0	0	
1955	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1959	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1961	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1962	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1963	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1964	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1965	41	123	396	0	4246	1	0	0	0	0	0	0	6	0	0	0	0	
1966	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1967	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1968	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1974	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1975	2	0	0	0	0	0	0	200	0	200	0	0	0	0	0	0	0	
1976	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1978	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	16	4	100	0	1	0	2	0	0	0	0	0	0	0	0	0	0	
1984	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	9	541	1518	0	20002	3	100009	5	0	0	0	0	0	0	0	0	0	
1987	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	4	0	0	0	0	0	20000	430	0	430	0	0	0	0	0	0	0	
1992	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	257	1229	8233	396	137880	171392	1513150	459545	0	81486	0	0	8	21	0	0	0	
2003	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	2	0	0	0	8	382	40	2275	0	0	0	0	0	0	0	0	0	
2006	23	2	0	0	783	440	3915	6246	0	975	0	0	0	0	0	0	0	
2007	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	7	0	0	0	10	40	50	255	0	0	0	0	0	0	0	0	0	
2010	2	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	
2011	4	0	0	0	0	88	0	440	0	0	0	0	0	0	0	0	0	
2014	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
