Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1904	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1905	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1916	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1917	3	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1920	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1923	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1924	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
1925	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1926	2	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1927	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1931	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1932	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1933	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1934	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1936	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1937	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1939	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1946	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1947	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1950	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1955	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1957	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1960	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1961	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1963	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1964	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1965	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1966	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1967	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1970	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1976	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	32	0	0	0	0	100	0	16259	0	15959	0	0	0	0	1482	0	0	
2006	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	8	0	0	0	0	0	773	0	0	31	0	0	12	0	0.3	0	0	
