Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1900	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1903	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1906	6	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	
1908	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1909	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1911	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1913	11	2	0	0	3	4	1	2	0	0	0	0	0	0	0	0	0	
1915	4	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	
1916	4	0	0	0	2	0	0	16	0	0	0	0	0	0	0	2	0	
1918	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	
1919	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	
1920	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1921	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	
1922	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1923	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	5000	0	
1925	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1926	5	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1927	4	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	
1928	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1929	11	1	0	0	100	5	0	0	0	0	0	0	1	0	0	0	0	
1931	7	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
1933	5	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	
1934	26	92	0	3	30	307	300	200	0	0	0	0	0	0	0	0	0	
1935	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1936	5	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
1937	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
1938	4	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
1939	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
1940	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
1941	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1943	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1944	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1945	5	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	
