Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1918	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1925	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1929	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1930	3	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	
1935	2	0	0	0	2	1	16	0	0	0	0	0	0	0	0	0	0	
1936	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1970	2	0	1	0	1	1	5	8	0	0	0	0	0	0	0	0	0	
1973	1	0	1	0	0	1	0	8	0	0	0	0	0	0	0	0	0	
1974	1	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	
1976	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	4	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	
1982	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	1	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	
1986	2	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	
1988	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	3	6	21	0	12	0	60	0	0	0	0	0	0	0	0	0	0	
1998	2	2	0	0	735	1	1725	5	0	0	0	0	0	0	0	0	0	
2004	3	1	0	0	3	12	15	60	0	0	0	0	0	0	0	0	0	
2005	47	0	2	0	0	0	0	280	0	280	0	0	0	0	0	0	0	
2006	5	1	0	0	0	50	0	2615	0	0	0	0	2	0	0	0	0	
2007	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	11	1	0	0	1	15	5	75	0	3	0	0	0	0	0	0	0	
2009	26	2	0	0	2	117	10	585	0	0	0	0	1	1	0	0	0	
2010	32	6	18	0	1	83	5	405	0	360	200	300000	66	0	0	0	0	
2011	48	3	75	1	2	183	10	1166	0	0	0	0	1	3	0	0	0	
2012	13	0	1	0	0	11	0	2193	0	0	50000	0	4	0	0	0	0	
2013	1	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	
2014	1	0	2	0	0	35	0	175	0	0	0	0	0	0	0	0	0	
