Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1993	2	0	0	0	0	0	0	0	0	0	100000	500000	0	0	0	0	0	
1997	1	0	0	0	0	100	0	500	0	0	0	0	0	0	0	0	0	
1999	1	0	0	0	0	0	450	0	0	0	266666	2000000	0	0	0	0	0	
2000	3	1	0	0	0	102	500	0	0	0	0	0	0	1	0	0	0	
2001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	1	0	0	0	0	40	200	0	0	0	0	0	0	0	0	0	0	
2012	3	0	0	0	0	0	140	0	0	0	0	0	0	0	16	0	0	
2013	3	0	0	0	0	29	288	0	0	108	0	0	2	1	0	0	0	
2014	2	0	0	0	0	3	3	18	0	0	0	0	0	0	0	0	0	
2015	2	0	0	0	0	1	1421	0	0	0	28000	216920	0	0	50	0	0	
