Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1988	12	0	1	0	0	951	550	0	0	0	1205120	6015600	0	0	0	0	0	
1989	12	0	0	0	9	137	50	500	0	45	16900	46000	2	0	0	0	0	
1990	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	2	1	0	0	5	0	25	0	0	0	0	0	0	0	0	0	0	
1993	7	1	2	0	25	40	130	0	0	0	0	0	0	0	0	0	0	
1994	1	0	0	0	0	9	0	45	0	0	0	0	0	0	0	0	0	
1995	3	0	0	0	0	80	0	400	0	0	0	0	0	0	1200	0	0	
1996	3	0	0	0	1	15	6	75	0	0	0	0	0	0	0	0	0	
1998	3	0	0	0	0	200	1600	0	0	0	0	0	0	0	0	0	0	
1999	11	0	0	0	18	128	415	0	0	0	423333	3175000	2	0	2	0	0	
2000	6	6	6	0	20	46	110	0	0	0	0	0	2	0	0	0	3	
2001	1	0	0	0	0	8	40	0	0	0	0	0	0	0	0	0	0	
2003	5	0	0	0	0	141	700	0	0	750	15000	100000	0	0	0	0	0	
2004	2	0	0	0	0	24	160	0	0	120	0	0	0	0	0	0	0	
2005	6	0	0	0	16	51	705	0	0	0	0	0	0	0	0	0	19000	
2006	2	0	0	0	0	135	675	0	0	0	0	0	0	0	0	0	0	
2007	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	
2008	2	0	0	0	7	44	2380	0	0	0	127500	1020000	0	0	0	0	0	
2009	6	0	0	0	8	137	760	7308	0	0	125000	1000000	23	0	0	0	0	
2010	2	0	0	0	0	27	135	0	0	0	0	0	0	0	0	0	0	
2011	6	0	0	0	0	165	980	0	0	0	0	0	1	0	10	0	0	
2012	11	0	7	0	1	90	487	0	0	82	0	0	1	0	0	0	0	
2013	8	0	1	0	1	21	115	0	0	12	4000	30000	0	0	0	0	0	
2014	26	0	0	0	41	2861	1647	7436	0	570	0	0	10	0	0	0	0	
2015	18	0	2	0	14	245	259	1407	0	167	0	0	2	0	0	0	0	
