Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1980	1	2	0	0	12	35	0	0	78	0	0	0	0	0	0	0	0	
1982	1	1	4	0	2	2	0	0	0	8	0	0	0	0	0	0	0	
1995	2	1	0	0	2	12	0	0	0	0	0	0	0	0	0	0	0	
1996	2	0	2	0	2	10	660	810	10	0	0	73.5	0	0	0	0	0	
1998	1	0	0	0	0	0	0	0	0	0	1650	330000	0	0	0	0	0	
1999	2	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	
2000	1	0	0	0	0	0	0	200	200	0	0	0	0	0	0	0	0	
2001	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
2002	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	3	0	2	0	4	0	21	0	0	0	15000	3000000	0	0	0	0	0	
2006	7	1	2	0	2	3	18	4	0	0	0	0	1	0	0	0	0	
2007	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
2010	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
