Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1968	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1970	4	0	0	0	0	0	0	0	0	0	10000	5000	0	0	0	0	0	
1978	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	1	0	0	0	0	0	0	0	0	0	1500000	3000000	0	0	0	0	0	
1980	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	3	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
1997	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	2	0	0	0	0	0	182	0	0	20	0	968976	0	0	0	0	0	
2009	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	9	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	
2011	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	6	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
