Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1919	1	0	0	0	0	0	0	0	0	0	600000	1200000	0	0	40	0	0	
1961	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1965	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
1966	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1968	44	0	0	0	0	0	0	0	0	0	0	250	0	0	5000	0	0	
1969	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1970	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1971	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1974	39	1808	0	0	911	500	1280	1280	0	0	0	300000	34	0	22400	6000	15	
1975	13	0	0	0	5	150	25	750	0	25	0	1550000	0	0	650	0	0	
1976	192	8	120	0	117	58	2200	8145	50	1045	1840500	3681000	0	0	1611	20	8115	
1977	7	0	0	0	0	0	0	0	0	0	0	0	0	0	250000	0	0	
1978	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	204	30	0	20	1205	2241	83144	26075	420	5383	390932013	775460000	3	0	19097	0	89868	
1980	36	0	44	0	60	100	9462	0	0	125	0	150000	1	0	2865.81	0	11004	
1981	94	29	1	0	0	0	8	0	0	0	0	15300	1	0	201	0	611	
1982	13	0	0	0	0	0	0	0	0	0	3200000	105000000	0	0	564	0	42	
1983	37	4	0	0	167	124	328	470	0	400	261000	342000	0	0	0	0	14017	
1984	26	3	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	2	
1985	10	0	0	0	0	0	650	0	0	0	0	0	0	0	0	0	1	
1986	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	65	1	4	0	0	20	1423	13298	0	250	0	226776	1	0	5200	0	1021	
1988	52	22	0	0	1648	2230	57379	3500	0	0	0	42550000	0	0	3440	50	0	
1989	50	15	0	16	39	3500	2540	0	0	0	0	118140000	0	0	816	530	20200	
1990	20	0	0	0	0	0	12200	0	0	0	775300	457000000	0	0	104300	0	23000	
1991	16	0	0	0	0	0	0	0	0	0	60225000	120450000	0	0	4457	0	60	
1992	45	0	0	0	10	80	1026	150	7	0	276584.91	5072000	0	0	859.12	0	0	
1993	46	91	0	197	1990	255	33097	12000	0	0	171	750640000	0	0	12361	0	1	
1994	27	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	
1995	58	12	14	1	104	522	69380	17029	0	0	1458364	77042589.9	0	0	13231.52	300	1000	
1996	37	8	0	0	1	0	0	0	0	0	62	5000000	0	0	700	0	0	
1997	13	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	
1998	20	6782	175	8685	35040	50000	1584260	0	0	7498	3835616438	70311560478	1	0	44	0	0	
1999	58	29	31	0	67	4709	101127	6000	31816	64250	379017756.5	7716230000	0	0	71700	0	0	
2000	32	2	0	0	2	9	0	0	0	1039	0	0	0	0	0	0	0	
2001	24	26	2	0	2	121	382	86321	0	1200	15	0	0	0	0	0	30000	
2002	37	10	4	14	243	252	2184	117430	0	100	30774627	610311450	0	0	0	0	7301	
2003	14	1	0	1	30	80	1445	0	0	383	920	20000000	0	0	40	0	0	
2004	13	1	0	1	5	37	0	0	0	200	0	2500000	0	0	0	0	0	
2005	147	20	0	1	231	1867	31409	10999	0	13369	126869223.16	2473324188	2	0	10846.59	5232	3980	
2006	69	22	3000	5	49	305	1900	0	0	692	90016	62800000	0	0	0	45	0	
2007	21	6	500	6	30	561	3145	69833	0	13630	13.158	30111602.5	0	0	3467.1408	0	0	
2008	84	174	5	46	1175	15847	107923	920999	1039	208973	7000000	92500000	68	4	148994.1	800	99395	
2009	25	6	1	1	7	44	124	0	0	26	0	0	0	0	0	0	0	
2010	483	57	14	2	1615	16204	10016	181958	0	58792	500000	16650000	93	28	62388.48	2385	4205	
2011	150	595	0	1	134	2729	1927	36007	325	4570	0	57642459.1	8	3	7978	342	22000	
2012	71	80	1	15	303	281	18009	68793	164	726	0	16000000	6	1	9000	50	200	
2013	35	45	1	7	35	281	163	243	162	292	0	0	0	0	0	0	0	
2014	40	6	0	3	0	201	0	0	0	310	0	50789110	0	0	350	60	0	
2015	21	2	1	1	0	300	0	28	0	0	0	10103895.11	1	0	35	0	0	
